asset,kb,bytes,html_pages
assets/products/wayve-superbowl.mp4,231871.23,237436144,pages/products/darwin.html
assets/products/wayve-ad-gen-09.mp4,219388.06,224653371,pages/products/wayve-gtm.html
assets/products/darwin-paid.mp4,132875.82,136064843,pages/products/darwin.html
assets/products/wayve-header.mp4,114762.81,117517113,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-21.mp4,98349.07,100709451,pages/products/wayve-gtm.html
assets/products/darwin-home-about.webm,59925.34,61363552,dist/content/darwin-social.html
assets/products/darwin-trailer.webm,59925.34,61363552,pages/products/darwin.html
assets/products/opensea-cut-1_1_cloud_prob4.mp4,59474.85,60902250,dist/content/opensea.html
assets/products/wayve-mrbeast-pepsi.mp4,28055.18,28728502,pages/products/darwin.html
assets/products/wayve-ad-gen-16.mp4,23787.50,24358403,pages/products/wayve-gtm.html
assets/products/brand_avatars.mp4,19712.83,20185941,index.html
assets/products/wayve-ad-gen-22.mp4,17802.53,18229792,pages/products/wayve-gtm.html
assets/products/creator_avatars.mp4,17708.55,18133553,index.html
assets/products/wayve-theo-rizzler.mp4,17074.44,17484225,pages/products/darwin.html
assets/products/wayve-ad-gen-14.mp4,15145.91,15509409,pages/products/wayve-gtm.html
assets/products/wayve-design-grid-01.mp4,14764.83,15119189,pages/products/wayve-gtm.html
assets/products/darwin-ad-gens.mp4,14756.85,15111015,pages/products/darwin.html
assets/products/wayve-ad-gen-24.mp4,14033.20,14369994,pages/products/wayve-gtm.html
assets/products/wayve-design-grid-02.mp4,13328.23,13648107,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-17.mp4,12779.13,13085825,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-15.mp4,12504.30,12804402,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-19.mp4,7356.12,7532662,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-18.mp4,7294.01,7469063,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-13.mp4,6606.65,6765207,pages/products/wayve-gtm.html
assets/products/darwin-header-loop-v2.webm,6016.85,6161255,dist/products/darwin.html; pages/products/darwin.html
assets/products/darwin_ads.mp4,5101.78,5224218,index.html
assets/products/wayve-ad-gen-11.mp4,4978.53,5098010,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-12.mp4,4905.23,5022954,pages/products/wayve-gtm.html
assets/products/sogni-style-14.mp4,3770.11,3860594,pages/products/sogni-gtm.html
assets/products/ad-gens-new-02.mp4,3632.77,3719956,pages/products/darwin.html
assets/products/wayve-ad-gen-02.mp4,3492.72,3576543,pages/products/wayve-gtm.html
assets/products/sogni-style-09.mp4,3452.78,3535646,pages/products/sogni-gtm.html
assets/products/wayve-ad-gen-04.mp4,2652.29,2715947,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-07.mp4,2553.24,2614513,pages/products/wayve-gtm.html
assets/products/wayve-ad-gen-10.mp4,2513.47,2573790,pages/products/wayve-gtm.html
assets/products/ad-gens-new-03.mp4,2490.54,2550311,pages/products/darwin.html
assets/products/wayve-ad-gen-05.mp4,2471.27,2530576,pages/products/wayve-gtm.html
assets/products/ad-gens-new-19.mp4,2384.56,2441793,pages/products/darwin.html
assets/products/wayve-ad-gen-01.mp4,2354.20,2410697,pages/products/wayve-gtm.html
assets/products/sogni-brand-grid-video-14.mp4,2210.64,2263693,pages/products/sogni-gtm.html
assets/products/sogni-style-01.mp4,2110.09,2160731,pages/products/sogni-gtm.html
assets/products/wayve.webm,2078.69,2128577,dist/products/wayve.html; index.html
assets/products/wayve-ad-gen-08.mp4,2025.15,2073754,pages/products/wayve-gtm.html
assets/products/ad-gens-new-07.mp4,2007.46,2055636,pages/products/darwin.html
assets/products/sogni-brand-grid-video-13.mp4,1996.25,2044162,pages/products/sogni-gtm.html
assets/products/wayve-header.webm,1925.18,1971383,pages/products/wayve-gtm.html
assets/products/sogni-style-03.mp4,1885.94,1931202,pages/products/sogni-gtm.html
assets/products/wayve-ad-gen-03.mp4,1850.21,1894618,pages/products/wayve-gtm.html
assets/products/sogni-style-06.mp4,1693.26,1733898,pages/products/sogni-gtm.html
assets/products/sogni-brand-grid-video-07.mp4,1593.04,1631276,pages/products/sogni-gtm.html
assets/products/sogni-style-11.mp4,1528.26,1564943,pages/products/sogni-gtm.html
assets/products/sogni-style-02.mp4,1509.77,1546002,pages/products/sogni-gtm.html
assets/products/darwin_studio.mp4,1455.57,1490505,index.html
assets/products/ad-gens-new-04.mp4,1405.21,1438938,pages/products/darwin.html
assets/products/sogni-style-15.mp4,1395.72,1429220,pages/products/sogni-gtm.html
assets/products/wayve-ad-gen-06.mp4,1376.39,1409424,pages/products/wayve-gtm.html
assets/products/ad-gens-new-06.mp4,1369.12,1401982,pages/products/darwin.html
assets/products/ad-gens-new-17.mp4,1338.62,1370746,pages/products/darwin.html
assets/products/sogni-brand-grid-video-08.mp4,1338.03,1370146,pages/products/sogni-gtm.html
assets/products/sogni-brand-grid-video-11.mp4,1332.67,1364655,pages/products/sogni-gtm.html
assets/products/pk-03.mp4,1332.35,1364330,dist/content/ai-native-ugc.html
assets/products/sogni-brand-grid-video-09.mp4,1318.00,1349637,pages/products/sogni-gtm.html
assets/products/sogni-style-08.mp4,1314.18,1345720,pages/products/sogni-gtm.html
assets/products/ad-gens-new-05.mp4,1174.57,1202761,pages/products/darwin.html
assets/products/sogni-style-07.mp4,1095.94,1122240,pages/products/sogni-gtm.html
assets/products/darwin-ad-gens-6.mp4,1088.31,1114429,pages/products/darwin.html
assets/products/ad-gens-new-15.mp4,1081.83,1107798,pages/products/darwin.html
assets/products/sogni-brand-grid-video-10.mp4,1054.56,1079871,pages/products/sogni-gtm.html
assets/products/giphy_9x16_black_TA7YjHw3n6UBOoIPXL.webm,1051.82,1077059,dist/products/sogni.html
assets/products/darwin.webm,855.24,875769,dist/content/embedded-ads.html
assets/products/ad-gens-new-16.mp4,811.36,830829,pages/products/darwin.html
assets/products/sogni-style-04.mp4,782.17,800939,pages/products/sogni-gtm.html
assets/products/ad-gens-new-27.mp4,781.83,800595,pages/products/darwin.html
assets/products/ad-gens-new-24.mp4,753.90,771998,pages/products/darwin.html
assets/products/ad-gens-new-26.mp4,740.77,758550,pages/products/darwin.html
assets/products/wayve-design-grid-03.mp4,692.66,709281,pages/products/wayve-gtm.html
assets/products/ad-gens-new-13.mp4,607.16,621727,pages/products/darwin.html
assets/products/ad-gens-new-21.mp4,587.46,601557,pages/products/darwin.html
assets/products/sogni-brand-grid-video-15.mp4,583.75,597761,pages/products/sogni-gtm.html
assets/products/sogni-brand-grid-video-12.mp4,517.58,529998,pages/products/sogni-gtm.html
assets/products/ad-gens-new-28.mp4,488.68,500406,pages/products/darwin.html
assets/products/ad-gens-new-25.mp4,407.57,417356,pages/products/darwin.html
assets/products/sogni-style-10.mp4,405.52,415257,pages/products/sogni-gtm.html
assets/products/ad-gens-new-20.mp4,383.81,393019,pages/products/darwin.html
assets/products/ad-gens-new-23.mp4,372.86,381810,pages/products/darwin.html
assets/products/ad-gens-new-18.mp4,320.24,327925,pages/products/darwin.html
assets/products/ad-gens-new-22.mp4,262.33,268625,pages/products/darwin.html
assets/products/sogni-style-05.mp4,217.12,222329,pages/products/sogni-gtm.html
assets/products/sogni-brand-grid-video-06.mp4,147.88,151426,pages/products/sogni-gtm.html
assets/products/sogni-style-12.mp4,147.88,151426,pages/products/sogni-gtm.html
assets/products/ad-gens-new-12.mp4,144.80,148279,pages/products/darwin.html
assets/products/giphy_9x16_ffbf4d_130.webm,141.81,145210,dist/products/mango-clips.html; pages/products/dmos-gtm.html; pages/products/mango-clips.html
