asset,size,bytes,exists,reference_count,page_count,surfaces,pages
/assets/products/wayve-header.mp4,112.1 MB,117517113,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/darwin-home-about.webm,58.5 MB,61363552,True,2,1,generated-dist,dist/content/darwin-social.html
/assets/products/darwin-trailer.webm,58.5 MB,61363552,True,4,3,"generated-dist, live-html, runtime-js",dist/products/darwin.html; pages/products/darwin.html; scripts/ui-tweaks.js
/assets/products/opensea-cut-1_1_cloud_prob4.mp4,58.1 MB,60902250,True,1,1,runtime-js,scripts/ui-tweaks.js
/assets/products/wayve-role-video-optimized.mp4,52.0 MB,54483600,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve-superbowl-hq.webm,38.7 MB,40562318,True,1,1,live-html,pages/products/darwin.html
/assets/products/opensea-cut-1_1_cloud_prob4-hq.webm,37.8 MB,39649477,True,4,2,"generated-dist, live-html",dist/content/opensea.html; pages/products/opensea-gtm.html
/assets/products/darwin-paid-hq.webm,30.3 MB,31730405,True,1,1,live-html,pages/products/darwin.html
/assets/products/darwin-design-ads.mp4,15.2 MB,15896187,True,2,2,"generated-dist, live-html",dist/products/darwin.html; pages/products/darwin.html
/assets/products/darwin-ad-gens.mp4,14.4 MB,15111015,True,1,1,live-html,pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-02-instagram.mp4,12.3 MB,12921583,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/wayve-design-grid-04-optimized.mp4,12.2 MB,12829062,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve-generation-optimized-12.mp4,11.2 MB,11737192,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/darwin-design-atlas.mp4,9.7 MB,10159457,True,2,2,"generated-dist, live-html",dist/products/darwin.html; pages/products/darwin.html
/assets/products/embedded-ai-ads-generation-14-3klqmh9.mp4,9.2 MB,9640851,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/ai-ugc-generation-26.mp4,9.1 MB,9496040,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/wayve-generation-optimized-02.mp4,8.5 MB,8956659,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve-generation-optimized-01.mp4,8.1 MB,8516071,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve-generation-optimized-09.mp4,7.9 MB,8289107,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/wayve-design-grid-01-hq.webm,7.1 MB,7454246,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ai-ugc-generation-25.mp4,7.0 MB,7330711,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-28.mp4,6.9 MB,7268419,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/wayve-generation-optimized-07.mp4,6.8 MB,7124835,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ai-ugc-generation-27.mp4,6.6 MB,6871637,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-22.mp4,6.2 MB,6496292,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/sogni-content-video-2-1.mp4,6.1 MB,6376656,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/ai-ugc-generation-09.mp4,5.9 MB,6214080,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/ai-ugc-generation-08.mp4,5.9 MB,6197692,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/embedded-ai-ads-generation-04-insert.mp4,5.7 MB,6019838,True,1,1,live-html,pages/products/darwin-ads-gtm.html
/assets/products/wayve-generation-optimized-06.mp4,5.3 MB,5569161,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ai-ugc-generation-24.mp4,5.3 MB,5530611,True,1,1,live-html,pages/products/ai-native-ugc.html
/assets/products/wayve-generation-optimized-03.mp4,5.0 MB,5286137,True,1,1,live-html,pages/products/wayve-gtm.html
/assets/products/ai-ugc-header.mp4,5.0 MB,5224190,True,1,1,live-html,pages/products/ai-native-ugc.html
